x,y,u,v,p
0.51,0.01,-0.00699714,2.8912e-07,-0.0168206
0.52,0.01,-0.0069884,-1.27287e-05,-0.0164794
0.53,0.01,-0.00696261,-2.5938e-05,-0.0161367
0.54,0.01,-0.00691958,-3.92745e-05,-0.0157941
0.55,0.01,-0.00685919,-5.2669e-05,-0.015453
0.56,0.01,-0.00678144,-6.60477e-05,-0.0151152
0.57,0.01,-0.00668639,-7.9333e-05,-0.0147822
0.58,0.01,-0.00657423,-9.24435e-05,-0.0144558
0.59,0.01,-0.00644525,-0.000105295,-0.0141377
0.6,0.01,-0.00629985,-0.000117801,-0.0138296
0.61,0.01,-0.00613854,-0.000129873,-0.0135331
0.62,0.01,-0.00596194,-0.000141422,-0.01325
0.63,0.01,-0.00577079,-0.00015236,-0.0129818
0.64,0.01,-0.00556595,-0.000162599,-0.0127301
0.65,0.01,-0.00534836,-0.000172054,-0.0124963
0.66,0.01,-0.0051191,-0.000180642,-0.0122818
0.67,0.01,-0.00487935,-0.000188284,-0.0120879
0.68,0.01,-0.00463036,-0.000194907,-0.0119157
0.69,0.01,-0.00437351,-0.000200443,-0.0117661
0.7,0.01,-0.00411022,-0.000204831,-0.01164
0.71,0.01,-0.00384202,-0.000208017,-0.0115379
0.72,0.01,-0.00357048,-0.000209958,-0.0114604
0.73,0.01,-0.00329723,-0.000210616,-0.0114076
0.74,0.01,-0.00302393,-0.000209966,-0.0113795
0.75,0.01,-0.00275228,-0.000207992,-0.011376
0.76,0.01,-0.00248398,-0.00020469,-0.0113966
0.77,0.01,-0.00222074,-0.000200066,-0.0114408
0.78,0.01,-0.00196424,-0.000194138,-0.0115075
0.79,0.01,-0.00171613,-0.000186934,-0.0115958
0.8,0.01,-0.00147804,-0.000178496,-0.0117042
0.81,0.01,-0.0012515,-0.000168876,-0.0118313
0.82,0.01,-0.00103799,-0.00015814,-0.0119751
0.83,0.01,-0.000838891,-0.000146364,-0.0121338
0.84,0.01,-0.00065547,-0.000133639,-0.0123051
0.85,0.01,-0.000488873,-0.000120067,-0.0124866
0.86,0.01,-0.000340098,-0.000105767,-0.0126757
0.87,0.01,-0.00020998,-9.08754e-05,-0.0128694
0.88,0.01,-9.9162e-05,-7.55473e-05,-0.0130649
0.89,0.01,-8.07024e-06,-5.99655e-05,-0.0132589
0.9,0.01,6.31261e-05,-4.43468e-05,-0.013448
0.91,0.01,0.000114561,-2.89549e-05,-0.0136287
0.92,0.01,0.00014674,-1.41198e-05,-0.0137971
0.93,0.01,0.000160622,-2.65686e-07,-0.0139495
0.94,0.01,0.000157753,1.20471e-05,-0.014082
0.95,0.01,0.000140429,2.20656e-05,-0.0141907
0.96,0.01,0.000111962,2.87775e-05,-0.0142722
0.97,0.01,7.68667e-05,3.08832e-05,-0.0143244
0.98,0.01,4.11413e-05,2.68967e-05,-0.0143466
0.99,0.01,1.56523e-05,1.56595e-05,-0.0143358
1,0.01,0,0,-0.0143358
0,0.02,0,0,-0.0199942
0.01,0.02,2.02224e-05,-3.61238e-05,-0.0199942
0.02,0.02,4.41374e-05,-4.39575e-05,-0.0200039
0.03,0.02,6.22672e-05,-3.1426e-05,-0.0200464
0.04,0.02,6.10841e-05,-5.47606e-06,-0.0201132
0.05,0.02,3.33618e-05,2.86198e-05,-0.0202007
0.06,0.02,-2.54144e-05,6.70871e-05,-0.0203049
0.07,0.02,-0.000117657,0.000107341,-0.0204218
0.08,0.02,-0.00024419,0.000147645,-0.0205474
0.09,0.02,-0.00040472,0.000186851,-0.0206782
0.1,0.02,-0.00059817,0.000224216,-0.020811
0.11,0.02,-0.000822938,0.000259276,-0.0209429
0.12,0.02,-0.00107707,0.000291759,-0.0210717
0.13,0.02,-0.00135841,0.000321529,-0.0211953
0.14,0.02,-0.00166468,0.000348541,-0.021312
0.15,0.02,-0.00199357,0.000372812,-0.0214203
0.16,0.02,-0.00234275,0.000394405,-0.021519
0.17,0.02,-0.00270998,0.000413409,-0.0216072
0.18,0.02,-0.00309302,0.00042993,-0.021684
0.19,0.02,-0.00348977,0.000444081,-0.0217488
0.2,0.02,-0.00389818,0.000455978,-0.021801
0.21,0.02,-0.00431629,0.000465733,-0.0218403
0.22,0.02,-0.00474223,0.000473453,-0.0218663
0.23,0.02,-0.00517422,0.000479237,-0.0218788
0.24,0.02,-0.00561054,0.00048317,-0.0218775
0.25,0.02,-0.00604955,0.000485331,-0.0218622
0.26,0.02,-0.00648966,0.000485784,-0.0218329
0.27,0.02,-0.00692934,0.000484582,-0.0217895
0.28,0.02,-0.00736708,0.000481769,-0.0217318
0.29,0.02,-0.00780144,0.000477377,-0.0216599
0.3,0.02,-0.00823095,0.000471427,-0.0215738
0.31,0.02,-0.00865422,0.000463934,-0.0214734
0.32,0.02,-0.00906982,0.000454906,-0.0213588
0.33,0.02,-0.00947635,0.000444342,-0.02123
0.34,0.02,-0.00987241,0.000432241,-0.0210871
0.35,0.02,-0.0102566,0.000418597,-0.0209303
0.36,0.02,-0.0106275,0.000403402,-0.0207597
0.37,0.02,-0.0109837,0.000386652,-0.0205756
0.38,0.02,-0.0113238,0.000368341,-0.020378
0.39,0.02,-0.0116465,0.000348469,-0.0201674
0.4,0.02,-0.0119502,0.00032704,-0.0199442
